Indicator Name,Year,Value
"School enrollment, primary (% gross)",2023,98.2483475806861
"Life expectancy at birth, total (years)",2024,63.834
Urban population (% of total population),2024,31.8937831721599
Population growth (annual %),2024,1.95751431565234
