Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Category,Growth_Status
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2013,3.7978483925754,Economy,Low Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2014,5.02011100232484,Economy,Moderate Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,4.96772112759767,Economy,Moderate Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,4.21351706814744,Economy,Moderate Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,3.83795817364721,Economy,Low Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,5.64794640709219,Economy,Moderate Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2019,5.11415885767801,Economy,Moderate Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2020,-0.272766327438816,Economy,Economic Stress
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2021,7.59048947333467,Economy,High Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2022,4.85998104287999,Economy,Moderate Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2023,5.71999241214208,Economy,Moderate Growth
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2024,4.72473994710138,Economy,Moderate Growth
