Year,Access to electricity (% of population),GDP (current US$),GDP growth (annual %),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Population, total","School enrollment, primary (% gross)"
2004,22.6,16095337093.8366,5.10429977629738,3.0235280420962,11.6240355442426,57.947,34713455.0,103.729431152344
2005,24.5,18737895512.7378,5.90666607980057,3.101900101,10.3127783574683,58.51,35796484.0,103.62956237793
2006,26.4,25825512284.2891,6.47249430015484,3.599999905,14.4537342081708,59.059,36904008.0,101.201988220215
2007,28.3,31958195182.2406,6.85072976998784,4.400000095,9.75888023027529,59.407,38036349.0,107.582710266113
2008,30.3,35895153327.8497,0.232282744812977,5.199999809,26.2398166445063,59.955,39206351.0,107.076469421387
2009,23.0,42347217912.9176,3.30693981631089,6.1,9.23412592394652,60.483,40408891.0,107.945739746094
2010,19.2,45405615063.7551,8.05847360290906,7.2,3.96138889115385,60.915,41598567.0,
2011,36.2,46869473150.61,5.1211061197056,8.800000191,14.0224913014704,61.283,42758461.0,
2012,38.1,56396704671.5777,4.56867961444982,10.5,9.37777003547598,61.537,43888303.0,111.422226680456
2013,40.1,61671440407.8387,3.7978483925754,13.0,5.71749357037733,61.729,44986791.0,
2014,36.0,68285796514.2896,5.02011100232484,16.5,6.87815499275949,61.99,46051440.0,107.141220092773
2015,41.6,70120446896.8359,4.96772112759767,16.5878548475992,6.58215429284779,62.279,47088526.0,104.780090332031
2016,53.1,74815144163.8931,4.21351706814744,16.6,6.29724953814625,62.526,48139687.0,104.114852905273
2017,55.8,82036510877.2599,3.83795817364721,17.82710075,8.00564967709945,62.725,49197766.0,101.957891317521
2018,61.2,92202979985.2863,5.64794640709219,19.5,4.6898064677633,62.825,50207107.0,99.770420205161
2019,69.7,100378436207.371,5.11415885767801,22.6687733618171,5.23963795764792,62.939,51202827.0,77.5132254988803
2020,71.5,100657505750.545,-0.272766327438816,24.7227993,5.40516207933392,61.596,52217334.0,91.9542486020668
2021,76.5,109703658904.994,7.59048947333467,26.96290016,6.10793603659176,61.225,53219166.0,93.7669067632864
2022,76.0,114448978152.637,4.85998104287999,29.40589905,7.65986268272224,63.549,54252461.0,98.551967362001
2023,76.2,107500884685.013,5.71999241214208,32.07040024,7.67139634029402,63.646,55339003.0,98.2483475806861
2024,,120339557905.932,4.72473994710138,34.97622513,4.48978854243448,63.834,56432944.0,
