Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Category,Inflation_Status
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2008,26.2398166445063,Economy,High Inflation Risk
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2009,9.23412592394652,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2010,3.96138889115385,Economy,Stable Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2011,14.0224913014704,Economy,High Inflation Risk
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2012,9.37777003547598,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2013,5.71749357037733,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2014,6.87815499275949,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,6.58215429284779,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,6.29724953814625,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,8.00564967709945,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2018,4.6898064677633,Economy,Stable Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2019,5.23963795764792,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2020,5.40516207933392,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2021,6.10793603659176,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022,7.65986268272224,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2023,7.67139634029402,Economy,Moderate Inflation
Kenya,KEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024,4.48978854243448,Economy,Stable Inflation
